imdb_id,gross,avg_like_cnt_t1,avg_like_cnt_t2,avg_like_cnt_t3,avg_like_cnt,avg_com_cnt_t1,avg_com_cnt_t2,avg_com_cnt_t3,avg_com_cnt,avg_share_cnt_t1,avg_share_cnt_t2,avg_share_cnt_t3,avg_share_cnt,avg_star_rating
tt1599348,126000000,1753,881.387,1205.41,950.915,232,78.6452,140.565,94.8049,353.611,61.9032,176.891,117.28,4.30876
tt1601913,52000000,86.4233,321.926,137.767,273.979,20.9693,66.5,33.5463,39.2456,8.93865,20.4559,11.2863,20.8612,3.23173
tt1602098,3000000,32.2208,89.1765,41.6129,41.8835,4.74026,14.2941,6.43011,6.38835,2.98701,15.8824,5.12903,5.20388,4.11364
tt1602620,6700000,27.7237,354.184,134.894,132.731,2.18421,16.7895,6.9646,6.78151,7.11842,36.1053,16.9292,16.2101,3.83495
tt1605630,57000000,3577.24,4509.39,3578.54,4478.82,361.205,274.286,342.652,352.333,342.54,367.714,333.754,363.298,4.51026
tt1606389,125000000,3261.45,4644.77,4008.25,5437.46,160.042,150.054,158.604,166.108,317.387,161.429,242.731,316.883,3.9959
tt1611224,38000000,444.675,590.688,469.363,519.802,37.0042,39.5625,37.69,37.2147,46.0417,89.5938,55.45,59.1497,3.96
tt1614989,1200000,3.22222,8.34146,7.42,20.0417,0.222222,1.31707,1.12,2.41667,2.11111,0.804878,1.04,3.27778,4.46667
tt1615065,47000000,150.349,727.045,369.886,445.175,12.6147,75.9552,36.7273,35.1266,47.0183,99.5821,67.0284,62.8472,3.61212
tt1621045,92000000,478.479,3371.32,924.5,7339.86,36.4726,190.263,65.5165,294.237,129.096,218.026,146.467,646.996,4.83801
tt1623288,56000000,172.051,536.882,340.816,383.727,13.7468,32.2206,22.2925,21.701,33.0127,44.0441,38.1156,44.8454,3.53186
tt1629757,6000000,106.524,172.024,128.358,247.804,9.13415,10.2195,9.49593,13.2157,26.6951,36.7561,30.0488,48.8366,4.63964
tt1636826,55000000,242.913,903.136,478.83,1487.98,33.8261,99.5682,58.2857,113.477,42.6087,81.5455,56.0982,124.019,4.357
tt1637725,219000000,10824.5,56723.2,29422.1,32777.6,317.984,1289.23,715.625,736.012,1987.44,7441.67,4226.46,4291.43,4.21185
tt1645170,60000000,194.383,0,194.383,194.383,21.1667,0,21.1667,21.1667,44.8333,0,44.8333,44.8333,3.39643
tt1646987,84000000,477.235,1057.65,760.029,954.078,71.1765,185.45,122.956,156.301,139.294,250.575,197.397,366.932,3.67368
tt1648179,45000000,1926.49,2503.11,2359.63,2301.38,90.902,51.181,64.34,63.9108,148.392,80.8095,102.647,102.248,4.55787
tt1649419,19000000,203.647,971.419,806.203,791.833,11.2941,54.5968,45.2785,46.1905,54,102.597,92.1392,96.5357,4.54342
tt1655460,17000000,119.464,212.412,154.578,135.8,16.6071,21.4118,18.4222,15.3143,18.6429,21.1765,19.6,16,3.30154
tt1656190,17000000,166.875,730.13,349.338,747.033,30.5417,70.3043,43.4225,48.1057,66.2083,74.2609,68.8169,83.813,4.20513
tt1659337,18000000,1357.21,7023.39,3553.07,4669.18,73.0992,126,93.3884,103.607,127.347,504.333,271.869,409.283,4.69837
tt1663143,9400000,2352.83,4761.41,3403.38,2711.99,87.1887,128.951,105.404,93.291,93.0189,50.3659,74.4149,57.7388,3.65753
tt1667889,161000000,1828.72,2754.26,2093.16,2072.56,82.655,96.65,86.6536,87.7211,300.25,452.15,343.65,342.779,4.24479
tt1673434,292000000,71757.9,224797,100116,106375,2811.53,3635.04,2970.04,2776.69,4832.87,12522.6,6226.51,6958.06,4.79914
tt1675434,13000000,7.33333,41.3333,37.0833,914.729,7,7.57143,7.5,31.2286,0,16.7619,14.6667,88.6357,4.90431
tt1694020,37000000,962.76,1931.85,1393.47,1028.67,33.58,104.925,65.2889,51.2754,99.3,105.125,101.889,78.6884,3.70752
tt1700844,1100000,0,0,0,353,0,0,0,21.5,0,0,0,16,2.74074
tt1702425,5900000,372.895,499.815,425.615,560.06,40.2632,38.3333,39.4615,42.7976,104.342,113.593,108.185,91.3095,3.52525
tt1703958,1200000,326.176,457.529,347.751,307.822,39.6705,38.1176,39.4155,30.0603,23.7861,26.5588,24.2415,21.5075,3.2
tt1706593,65000000,362.033,1130.52,691.385,801.133,144.37,313.696,216.938,221.067,44.3804,46.3333,45.2174,46.3556,3.52874
tt1707386,149000000,6739.59,15618.1,10661.3,9835.38,270.275,623.468,427.353,395.017,1213.19,1196.3,1226.24,1090.25,4.54254
tt1710396,31000000,68.8904,165.851,117.701,199.764,12.0959,26.4324,19.3129,29.6322,13.4932,16.9189,15.2177,22.4138,4.44102
tt1712170,26000000,243.431,528.062,304.973,309.765,28.7414,51.0625,33.5676,34.1235,36.6552,59.0625,41.5,42.1481,4.01417
tt1716777,12000000,38.8642,207.446,79.8584,479.866,4.31482,12.4308,6.34071,24.2213,14.1235,157.985,46.854,199.98,4.14286
tt1720616,7300000,5.5,5.32258,5.36585,30.6588,1.2,1.03226,1.07317,3.03529,6.9,1.6129,2.90244,3.41176,3.57407
tt1726669,220000,23.45,116.639,41.6066,62.6585,3.21,10.4167,4.31967,6.88415,15.36,27.2222,18.3197,19.9878,3.38776
tt1728986,1200000,361.062,1597.07,717.328,548.428,20.4519,75.9195,36.2517,27.8292,50.7163,132.069,74.3621,56.3465,4.73333
tt1735898,155000000,2071.78,3080.82,2525.61,2477.72,85.3235,166.431,119.851,133.352,246.216,182.338,228.224,202.886,3.87052
tt1742336,1600000,8.55814,21.6842,12.5806,17.0896,1.06977,3.52632,1.82258,2.13433,1.67442,7.42105,3.43548,3.89552,3.47368
tt1748122,46000000,45.7778,536.829,323.548,476.92,10.0926,23.5411,17.864,19.8301,9.53704,69.5685,43.892,51.3526,4.09545
tt1748227,6800000,404.238,555.892,444.899,450.642,33.3564,34.4595,33.6522,34.527,48.9703,67.5135,53.942,54.0946,4.07447
tt1753813,72000,12.95,23.3333,12.95,17.2809,1.025,1.58333,1.025,1.55056,2.875,6.41667,2.875,2.73034,2.81818
tt1758610,525000,168.263,633.921,168.263,279.903,8.10127,28.8947,8.10127,13.3677,18.1835,68.3421,18.1835,35.5895,4.95556
tt1758830,68000000,847.711,1328.54,1037.31,792.114,17.1446,33.24,23.0615,20.6141,75.4458,66.74,73.0846,56.212,3.39428
tt1764183,7900000,25.2632,217.846,103.5,101.061,4.94737,48.3077,22.5625,22,5.05263,36.6923,17.9062,17.3939,3.96104
tt1764651,85000000,827.133,2217.82,1394.67,1738.95,44.2,157.909,96.5833,95.9756,255.067,450.273,338.958,358.268,4.39733
tt1767382,13000000,59.0957,210.568,107.391,105.748,7.93617,47.3409,20.5,21.0272,3.39362,5.59091,4.0942,4.67347,2.14706
tt1772341,189000000,2928.83,12254.8,7478.25,7350.91,150.351,584.387,362.453,342.11,251.351,572,408.551,398.688,4.63364
tt1772925,2600000,34.2761,122.404,75.4304,239.323,3.25153,13.3205,8.20253,12.2455,7.1411,15.2051,11.1108,28.9705,4.15789
tt1781769,13000000,280.517,408.567,350.914,368.219,14.9272,18.2622,16.8218,17.0365,48.7417,47.5915,49.1254,47.9362,3.36508
tt1787988,2700000,274.765,536.482,337.568,232.27,27.1294,118.778,48.8468,32.5225,58.1294,64.1111,59.9279,39.2753,4.0241
tt1790885,96000000,940,2191.52,1800.59,1760.78,59.2857,119.519,99.8936,98.7576,184.048,151.847,164.005,159.707,4.35844
tt1790886,87000000,750.475,1288.21,1024.44,1025.19,30.7627,55.1096,43.2901,43.0725,155.492,132.973,141.748,138.514,3.73181
tt1800741,35000000,1027.36,938.545,965,800.118,139.786,45.8485,73.8298,56.9079,856,299.909,465.553,337.671,4.47619
tt1815852,3400000,56.75,0,56.75,35.4286,4,0,4,2.28571,23,0,23,13.1429,4.15625
tt1817676,2600000,212,153.5,188.068,168.627,35.5769,24.3889,31,27.7059,19.8846,4.66667,13.6591,12.549,3.73333
tt1827512,1400000,0.6875,1.66667,1.31461,1.61856,0,0.473684,0.303371,0.319588,0,0.157895,0.101124,0.0927835,3.6
tt1838544,12000000,252.75,301.667,282.1,270.579,19.5,28.3333,24.8,29.8947,29,23.8333,25.9,19.5789,3.6
tt1839492,2500000,96.5,111.545,105.211,509.571,7.5625,5.45455,6.34211,16.0357,21.6875,13.8182,17.1316,43.2679,4.30233
tt1840417,11000000,220.281,349.702,262.818,398.859,25.9062,21.383,24.4196,25.4417,50,43.1489,47.7483,62.3398,3.63218
tt1849718,2000000,479.488,1641.13,615.062,764.112,82.2663,454.788,125.733,105.58,45.0992,131.019,54.9378,58.5221,3.75472
tt1853728,163000000,638.099,5111.99,1965.37,1914.37,34.821,266.888,103.669,99.4214,211.504,577.922,320.21,303.374,4.62197
tt1855199,41000000,258.849,1107.76,603.345,703.768,12.4651,49.3729,27.453,33.3129,20.8895,45.9153,31.1498,36.5065,4.41732
tt1855325,42000000,10786.1,27610.4,13972.2,14811.2,650.922,800.257,686.328,637.349,1051.46,1796.09,1206.4,1117,3.17765
tt1859650,17000000,156.25,71.75,99.9167,314.411,14.25,7.6875,9.875,17.4667,120.125,10.5625,47.0833,29.8222,3.58416
tt1862079,4000000,12.8421,82.4487,39.8491,70.0495,2.29474,16.2756,8.51775,9.80729,3.65263,2.98718,3.39645,5.61458,4.15
tt1870529,5300000,63.1429,161.92,82.1385,83.1818,12.0381,31.04,15.6923,15.5245,19.619,29.68,21.5538,20.8601,4.31522
tt1876451,24000000,4329.26,13257.9,6285.74,7116.8,117.453,338.103,167.133,158.18,381.391,691.359,445.47,325.756,4.54839
tt1885265,35000000,155.457,661.34,247.973,489.291,23.9857,98.8723,37.6809,51.3263,20.1429,67.0851,28.7276,39.014,4.66268
tt1899353,4100000,79.6667,258.778,199.547,656.078,19.5417,45.4722,37.8211,54.7617,14.9583,21.2361,18.9053,54.4974,4.52414
tt1907668,94000000,1640.06,3717.17,3122.11,3140.36,82.4839,179.169,151.989,155.43,135.355,227.746,200.14,205.243,4.1531
tt1915581,114000000,3927.81,14387.6,8346.74,12040,210.081,566.225,362.449,547.357,1486.37,2805.17,2054.16,2202.74,3.91638
tt1922777,48000000,884.509,4015.72,2287.03,2135.62,45.6415,247.837,136.208,127.354,116.189,271.744,185.865,178.8,3.72157
tt1931533,15000000,231.361,378.043,302.022,357.664,11.7222,18.5652,15.0935,16.6293,55.75,39.7971,48.3597,43.0517,3.49042
tt1954352,1800000,111.323,382.18,163.223,196.307,23.0758,54.6742,29.4386,29.3016,15.4494,44.3596,21.3682,23.7821,4.64
tt1980986,1500000,0,0,0,3.59458,0,0,0,0.196295,0,0,0,0.111863,4.41667
tt1981677,65000000,857.087,6896.87,3803.92,6531.07,34.4409,199.95,115.194,190.874,87.8661,369.488,225.27,639.171,4.62763
tt1985017,3300000,50,96.75,76.7143,76.7143,16.3333,44,32.1429,32.1429,61.3333,25,40.5714,40.5714,4.47791
tt1990314,3300000,6.91837,16.7353,12.6239,20.7394,0.673469,1.47059,1.13675,2.09155,3.18367,1.57353,2.24786,3.3169,4.16216
tt1991245,18000000,218.443,370.24,254.933,418.416,35.3544,76.52,45.25,55.635,55.038,44.92,52.6058,80.1971,2.80741
tt1996264,1200000,41.9429,61.8421,50.874,54.4357,3.54286,4.07018,3.77953,4.00714,9.72857,5.57895,7.86614,8.41429,4.27586
tt2008513,894000,88.4364,74.6909,84.7315,236.146,5.78182,6.89091,6.14198,9.22486,54.6409,18.0273,43.1142,39.638,4
tt2011971,2000000,3.375,5.86667,4.58065,4.58065,0.125,1.2,0.645161,0.645161,2.1875,0.466667,1.35484,1.35484,4.29412
tt2016894,1500000,4028.8,6610.6,4028.8,4623.66,321.78,639.1,321.78,307.902,395.588,566.72,395.588,429.761,4
tt2023453,49000000,554.094,1835.5,768.926,859.133,155.446,145.673,154.587,152.273,61.0312,102.365,68.3911,69.8294,4.23704
tt2053352,1000000,4,8.4,6.58824,7.875,0.214286,0.75,0.529412,0.611111,1,1.65,1.38235,1.56944,4.81818
tt2073016,1200000,16.5484,8.83721,12.0676,35.3684,4.22581,1.55814,2.67568,4.30526,9.3871,0.953488,4.48649,5.98947,4.91667
tt2077851,2300000,33.4,92.9206,53.8907,50.6351,2.575,5.85714,3.70492,3.54054,6.66667,6.38095,6.56831,5.42342,4.22222
tt2083383,36000000,599,1329.32,1064.53,927.899,61.68,86.0488,78.1406,64.764,105.56,110,110.109,98.8202,4.348
tt2091473,7600000,87.2615,76.7778,83.67,85.5124,16.6308,45.25,25.51,24.4793,24.9077,15.2778,21.58,21.5041,3.30435
tt2097307,14000000,93.6943,239,131.138,132.304,3.96373,11.194,5.82692,6.08059,6.35751,10.7612,7.49231,8.04762,3.31579
tt2109184,54000000,3713.68,14017.6,4800.52,5236.81,377.358,3059.5,659.97,636.667,239.247,711.974,289.298,352.675,2.94016
tt2125435,13000000,52.7949,345.289,310.358,341.567,4.97436,22.0635,20.0455,21.4611,16.5128,60.0762,55.1364,55.8731,4
tt2125608,3700000,22.1667,105.426,98.8954,98.8506,1.75,8.37589,7.85621,7.87662,9,21.1773,20.2222,20.0909,4.73438
tt2125666,2400000,10.875,17.0208,15.9825,16.3354,3.70833,3.82292,3.82456,3.90683,5.5,1.91667,2.55263,2.40994,3.30769
tt2176013,3000000,3152.05,5666.85,3582.76,3628.75,224.613,442.576,269.059,224.385,612.688,601.727,635.441,481.099,3.46341
tt2215285,66000000,1504.69,3047.16,2003.26,3793.04,100.075,125.5,108.293,144.024,323.269,265.312,304.535,417.988,4.24072
tt2215719,25000000,90.7212,362.068,171.392,194.503,13.8269,24.6591,17.0473,19.2848,9.00961,19.1136,12.0135,14.5894,4.39231
tt2247692,33000000,845.746,5943.83,4856.96,4292.19,54.4921,557.824,445.448,400.521,896.365,3497.8,2955.81,2199.34,4.54087
tt2359137,3300000,21.7311,330.353,57.5597,63.2867,3.17647,49.9412,8.3806,9.46,13.7311,176.529,33.1045,31.9,4.63569
tt0903624,303000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0948470,262000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt0975645,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1045658,132000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1194173,113000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1212450,37000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1486192,16000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1667307,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1667353,65000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1682181,4000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1704573,9200000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1764234,15000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1792647,12000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1866249,6000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt1996346,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2053425,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2073128,14000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2082197,2800000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2112131,2500000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2168910,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0
tt2181931,1700000,0,0,0,0,0,0,0,0,0,0,0,0,0
